% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 52.99    0.090547           1     63829        42 write
 43.88    0.074975           1     63990      1326 read
  2.42    0.004133           3      1319         1 epoll_wait
  0.24    0.000406           4       105           open
  0.21    0.000356           2       154           close
  0.09    0.000148           1       151       100 setsockopt
  0.05    0.000090           1       106           fcntl
  0.04    0.000076           1        51         1 accept
  0.03    0.000059           1       102           epoll_ctl
  0.01    0.000022           2        14           stat
  0.01    0.000017           6         3         1 unlink
  0.01    0.000009           9         1           rename
  0.01    0.000009           2         5           futex
  0.00    0.000007           0        26           mmap
  0.00    0.000004           4         1           fsync
  0.00    0.000004           4         1           fdatasync
  0.00    0.000003           3         1         1 rt_sigreturn
  0.00    0.000002           0        17           fstat
  0.00    0.000000           0         1           lseek
  0.00    0.000000           0        13           mprotect
  0.00    0.000000           0        10           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0        10           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         2         1 ioctl
  0.00    0.000000           0         6         6 access
  0.00    0.000000           0         1           pipe
  0.00    0.000000           0        16           madvise
  0.00    0.000000           0         1           socket
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         3           clone
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           getcwd
  0.00    0.000000           0         1           chdir
  0.00    0.000000           0         1         1 readlink
  0.00    0.000000           0         1           chmod
  0.00    0.000000           0         2           getrlimit
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           setrlimit
  0.00    0.000000           0         1           epoll_create
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.170867                129959      1480 total
